country_name,country_code,area_km2,precip_trend_mm_per_year,pixel_count
Greece,GRC,549251.5206224624,-3.4576529165419765,275
Cuba,CUB,443401.0589054109,-3.457876496509968,195
Slovakia,SVK,126848.61735923938,-3.549059482503111,112
Laos,LAO,787752.055434729,-3.5972529622667384,387
Myanmar,MMR,2012747.2685604386,-3.629294686017945,1166
Serbia,SRB,201070.35007565844,-3.6447417421540154,171
Uruguay,URY,311327.96899278,-3.656486578024893,339
Bangladesh,BGD,326511.1450324869,-3.745213325981337,239
S. Sudan,SSD,1228638.9515626715,-3.747001222289871,1015
Thailand,THA,1490231.9870484436,-3.8739598989814414,855
Australia,AUS,16340796.790165493,-4.323722706845951,13788
South Korea,KOR,174319.7905943985,-4.406366192646024,196
Mozambique,MOZ,2144349.5341766896,-4.497718472058212,1373
Nigeria,NGA,1409542.4672999328,-4.613058121648266,1475
Poland,POL,714396.6148004419,-4.685279589234227,808
Brazil,BRA,18870072.837187767,-4.721208636180275,14086
Dem. Rep. Congo,COD,4332080.824471906,-4.775993041877415,3755
New Zealand,NZL,1803594.6895929668,-4.811021616920337,590
Costa Rica,CRI,125178.05502899401,-4.826955552273435,92
Ecuador,ECU,447919.23799984873,-4.986480925506201,403
Russia,RUS,177861449.47104,-5.096927317323115,58165
Bosnia and Herz.,BIH,122555.19017088332,-5.187854364795343,114
Gabon,GAB,437203.6295530762,-5.224070620573482,440
Somalia,SOM,1714759.6474572856,-5.572993988806149,784
Guatemala,GTM,201487.91190904158,-5.6029001739086475,183
Zimbabwe,ZWE,632164.7302033936,-5.721633510748342,640
Spain,ESP,1195025.7384571184,-5.805028416543355,1056
Bolivia,BOL,1953347.591658677,-5.901639000995229,1829
Kazakhstan,KAZ,7418132.646127301,-6.200215400658526,6559
Austria,AUT,240920.3676514101,-6.31265681512838,200
Madagascar,MDG,1206735.989411705,-6.377745098976527,1001
Denmark,DNK,166063.59826928435,-6.446596820931325,122
Iceland,ISL,400127.3407274426,-6.458264063656994,410
Switzerland,CHE,111854.20936030413,-6.560345690408399,109
Togo,TGO,120095.07268066138,-6.7891897871900415,94
Tajikistan,TJK,392113.7574233887,-6.852158234952215,279
Argentina,ARG,8147122.507765819,-7.175390130386776,5537
Angola,AGO,2068024.758261528,-7.228829264841013,2057
Nepal,NPL,401001.8760855801,-7.232562290923096,272
France,-99,38764937.39203994,-7.413785290294559,1436
Uganda,UGA,382753.35131263814,-7.653150042419103,398
Turkey,TUR,1460076.7067809254,-7.672502499949217,1652
Lithuania,LTU,168152.8563362192,-8.031621762389472,180
Zambia,ZMB,1389383.9989687842,-8.037385448210587,1239
Ukraine,UKR,1561290.8975215936,-8.149129953890267,1400
Peru,PER,2872415.042209748,-8.25617193154431,2138
Malawi,MWI,287646.97161493846,-8.491660110990969,185
Ghana,GHA,338785.2889004582,-9.594911005801386,400
Sweden,SWE,2180502.1763350368,-9.71558716285101,1579
Turkmenistan,TKM,1294435.117239283,-10.026222594292399,993
Azerbaijan,AZE,247670.1643455249,-10.154127757736827,193
Mauritania,MRT,1911443.7949451092,-10.17780225748321,1802
Latvia,LVA,206624.36193908425,-10.375834047861645,185
Czechia,CZE,208746.64338762153,-11.144231359786888,202
Morocco,MAR,2808387.3550007944,-11.298242461837063,1094
Estonia,EST,126144.86212666534,-12.872893899176795,136
Tunisia,TUN,343982.26357544446,-12.971905730891466,299
Uzbekistan,UZB,1781353.6571077667,-13.98340661911953,992
W. Sahara,ESH,688802.2842601177,-14.447753809426972,178
Germany,DEU,854377.533886579,-14.461234531673387,909
Namibia,NAM,1990986.639060099,-15.277674698427854,1447
Greenland,GRL,17769330.5563528,-15.55138738038993,6143
Syria,SYR,402794.2263594945,-15.964258953986223,361
Netherlands,NLD,125962.01685876532,-16.640964010018543,104
South Africa,ZAF,2585198.09450469,-17.004645114860885,2239
Armenia,ARM,90284.41136826687,-18.145271363019834,56
Georgia,GEO,204916.17852361558,-18.963478089213414,151
Kyrgyzstan,KGZ,534536.486267653,-25.500089187303487,418
Algeria,DZA,4602785.268012285,-29.292720732808096,4236
Canada,CAN,45238374.640895,-36.42156773900251,33615
